Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Taxe,Taxe_achizitie,Descriere
Rosenauer Schnaps cirese 0.7L,Bauturi alcoolice ,product,109.2437,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,369
Rosenauer Schnaps cirese toi 0.04L,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,370
Rosenauer Schnaps pere 0.7L,Bauturi alcoolice ,product,109.2437,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,371
Rosenauer Schnaps pere toi 0.04L,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,372
Rosenauer Schnaps zmeura 0.7L,Bauturi alcoolice ,product,109.2437,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,373
Rosenauer Schnaps zmeura toi 0.04L,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,374
Rosu de Petro Vaselo,Bauturi alcoolice ,product,41.1765,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,375
Salata de ardei capia Razvan 320g,Zacusca,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,381
Salata de vinete Razvan 320g,Zacusca,product,10,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,384
Sare,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,385
Sare Maldon 125 g,Bacanie,product,15.5963,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,387
Sare Maldon 250 g,Bacanie,product,25.6881,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,388
Sare Maldon afumata 125 g,Bacanie,product,23.8532,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,389
Sare Maldon cu hribi,Bacanie,product,18.3486,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,390
SET 2 TOI PRUNE,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,391
